downloaded_date,state,year,url,raw_path,http_status,n_rows_total,n_rows_total_private_state_agg,annual_avg_estabs,annual_avg_emplvl
2026-05-06,HI,2023,https://data.bls.gov/cew/data/api/2023/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2023.csv,200,2138,1,54727.0,513450.0
2026-05-06,HI,2024,https://data.bls.gov/cew/data/api/2024/a/area/15000.csv,data/bls_qcew/raw/qcew_HI_2024.csv,200,2153,1,57568.0,516956.0
2026-05-06,IA,2017,https://data.bls.gov/cew/data/api/2017/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2017.csv,200,2592,1,95401.0,1301192.0
2026-05-06,IA,2018,https://data.bls.gov/cew/data/api/2018/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2018.csv,200,2590,1,96660.0,1309819.0
2026-05-06,IA,2019,https://data.bls.gov/cew/data/api/2019/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2019.csv,200,2593,1,97987.0,1312038.0
2026-05-06,IA,2020,https://data.bls.gov/cew/data/api/2020/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2020.csv,200,2584,1,98782.0,1242572.0
2026-05-06,IA,2021,https://data.bls.gov/cew/data/api/2021/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2021.csv,200,2599,1,100418.0,1269438.0
2026-05-06,IA,2022,https://data.bls.gov/cew/data/api/2022/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2022.csv,200,2547,1,104388.0,1297333.0
2026-05-06,IA,2023,https://data.bls.gov/cew/data/api/2023/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2023.csv,200,2556,1,104709.0,1312629.0
2026-05-06,IA,2024,https://data.bls.gov/cew/data/api/2024/a/area/19000.csv,data/bls_qcew/raw/qcew_IA_2024.csv,200,2540,1,105436.0,1315014.0
2026-05-06,ID,2017,https://data.bls.gov/cew/data/api/2017/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2017.csv,200,2589,1,58421.0,589307.0
2026-05-06,ID,2018,https://data.bls.gov/cew/data/api/2018/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2018.csv,200,2584,1,60875.0,611396.0
2026-05-06,ID,2019,https://data.bls.gov/cew/data/api/2019/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2019.csv,200,2575,1,60643.0,631444.0
2026-05-06,ID,2020,https://data.bls.gov/cew/data/api/2020/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2020.csv,200,2570,1,66608.0,629623.0
2026-05-06,ID,2021,https://data.bls.gov/cew/data/api/2021/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2021.csv,200,2584,1,75772.0,670723.0
2026-05-06,ID,2022,https://data.bls.gov/cew/data/api/2022/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2022.csv,200,2550,1,84171.0,699084.0
2026-05-06,ID,2023,https://data.bls.gov/cew/data/api/2023/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2023.csv,200,2571,1,90972.0,717715.0
2026-05-06,ID,2024,https://data.bls.gov/cew/data/api/2024/a/area/16000.csv,data/bls_qcew/raw/qcew_ID_2024.csv,200,2576,1,99957.0,734589.0
2026-05-06,IL,2017,https://data.bls.gov/cew/data/api/2017/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2017.csv,200,2804,1,353360.0,5153355.0
2026-05-06,IL,2018,https://data.bls.gov/cew/data/api/2018/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2018.csv,200,2797,1,358529.0,5193821.0
2026-05-06,IL,2019,https://data.bls.gov/cew/data/api/2019/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2019.csv,200,2792,1,365816.0,5211856.0
2026-05-06,IL,2020,https://data.bls.gov/cew/data/api/2020/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2020.csv,200,2793,1,368119.0,4822542.0
2026-05-06,IL,2021,https://data.bls.gov/cew/data/api/2021/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2021.csv,200,2790,1,378265.0,4948150.0
2026-05-06,IL,2022,https://data.bls.gov/cew/data/api/2022/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2022.csv,200,2726,1,387675.0,5161095.0
2026-05-06,IL,2023,https://data.bls.gov/cew/data/api/2023/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2023.csv,200,2737,1,390497.0,5235077.0
2026-05-06,IL,2024,https://data.bls.gov/cew/data/api/2024/a/area/17000.csv,data/bls_qcew/raw/qcew_IL_2024.csv,200,2735,1,387954.0,5236228.0
2026-05-06,IN,2017,https://data.bls.gov/cew/data/api/2017/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2017.csv,200,2611,1,159129.0,2627391.0
2026-05-06,IN,2018,https://data.bls.gov/cew/data/api/2018/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2018.csv,200,2616,1,162027.0,2659130.0
2026-05-06,IN,2019,https://data.bls.gov/cew/data/api/2019/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2019.csv,200,2628,1,163270.0,2685388.0
2026-05-06,IN,2020,https://data.bls.gov/cew/data/api/2020/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2020.csv,200,2646,1,166967.0,2535558.0
2026-05-06,IN,2021,https://data.bls.gov/cew/data/api/2021/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2021.csv,200,2662,1,173054.0,2631157.0
2026-05-06,IN,2022,https://data.bls.gov/cew/data/api/2022/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2022.csv,200,2616,1,180517.0,2733492.0
2026-05-06,IN,2023,https://data.bls.gov/cew/data/api/2023/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2023.csv,200,2602,1,184108.0,2767985.0
2026-05-06,IN,2024,https://data.bls.gov/cew/data/api/2024/a/area/18000.csv,data/bls_qcew/raw/qcew_IN_2024.csv,200,2609,1,186716.0,2780349.0
2026-05-06,KS,2017,https://data.bls.gov/cew/data/api/2017/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2017.csv,200,2585,1,83794.0,1129926.0
2026-05-06,KS,2018,https://data.bls.gov/cew/data/api/2018/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2018.csv,200,2597,1,83788.0,1139242.0
2026-05-06,KS,2019,https://data.bls.gov/cew/data/api/2019/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2019.csv,200,2579,1,82580.0,1147159.0
2026-05-06,KS,2020,https://data.bls.gov/cew/data/api/2020/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2020.csv,200,2593,1,82704.0,1091219.0
2026-05-06,KS,2021,https://data.bls.gov/cew/data/api/2021/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2021.csv,200,2591,1,85261.0,1114826.0
2026-05-06,KS,2022,https://data.bls.gov/cew/data/api/2022/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2022.csv,200,2559,1,88348.0,1151446.0
2026-05-06,KS,2023,https://data.bls.gov/cew/data/api/2023/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2023.csv,200,2556,1,91548.0,1174143.0
2026-05-06,KS,2024,https://data.bls.gov/cew/data/api/2024/a/area/20000.csv,data/bls_qcew/raw/qcew_KS_2024.csv,200,2554,1,94959.0,1182582.0
2026-05-06,KY,2017,https://data.bls.gov/cew/data/api/2017/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2017.csv,200,2707,1,115652.0,1580021.0
2026-05-06,KY,2018,https://data.bls.gov/cew/data/api/2018/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2018.csv,200,2736,1,116519.0,1592256.0
2026-05-06,KY,2019,https://data.bls.gov/cew/data/api/2019/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2019.csv,200,2742,1,117176.0,1606510.0
2026-05-06,KY,2020,https://data.bls.gov/cew/data/api/2020/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2020.csv,200,2755,1,121622.0,1511919.0
2026-05-06,KY,2021,https://data.bls.gov/cew/data/api/2021/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2021.csv,200,2767,1,128238.0,1580042.0
2026-05-06,KY,2022,https://data.bls.gov/cew/data/api/2022/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2022.csv,200,2716,1,137021.0,1640191.0
2026-05-06,KY,2023,https://data.bls.gov/cew/data/api/2023/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2023.csv,200,2731,1,146057.0,1680021.0
2026-05-06,KY,2024,https://data.bls.gov/cew/data/api/2024/a/area/21000.csv,data/bls_qcew/raw/qcew_KY_2024.csv,200,2724,1,152232.0,1693939.0
2026-05-06,LA,2017,https://data.bls.gov/cew/data/api/2017/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2017.csv,200,2977,1,124638.0,1598324.0
2026-05-06,LA,2018,https://data.bls.gov/cew/data/api/2018/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2018.csv,200,2962,1,126194.0,1612079.0
2026-05-06,LA,2019,https://data.bls.gov/cew/data/api/2019/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2019.csv,200,2969,1,128870.0,1612743.0
2026-05-06,LA,2020,https://data.bls.gov/cew/data/api/2020/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2020.csv,200,2966,1,132434.0,1479871.0
2026-05-06,LA,2021,https://data.bls.gov/cew/data/api/2021/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2021.csv,200,2946,1,137287.0,1520908.0
2026-05-06,LA,2022,https://data.bls.gov/cew/data/api/2022/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2022.csv,200,2897,1,143196.0,1571606.0
2026-05-06,LA,2023,https://data.bls.gov/cew/data/api/2023/a/area/22000.csv,data/bls_qcew/raw/qcew_LA_2023.csv,200,2912,1,148103.0,1594324.0
