state,year,private_establishments,private_employment,source_url
IL,2018,358529.0,5193821.0,https://data.bls.gov/cew/data/api/2018/a/area/17000.csv
IL,2019,365816.0,5211856.0,https://data.bls.gov/cew/data/api/2019/a/area/17000.csv
IL,2020,368119.0,4822542.0,https://data.bls.gov/cew/data/api/2020/a/area/17000.csv
IL,2021,378265.0,4948150.0,https://data.bls.gov/cew/data/api/2021/a/area/17000.csv
IL,2022,387675.0,5161095.0,https://data.bls.gov/cew/data/api/2022/a/area/17000.csv
IL,2023,390497.0,5235077.0,https://data.bls.gov/cew/data/api/2023/a/area/17000.csv
IL,2024,387954.0,5236228.0,https://data.bls.gov/cew/data/api/2024/a/area/17000.csv
IN,2017,159129.0,2627391.0,https://data.bls.gov/cew/data/api/2017/a/area/18000.csv
IN,2018,162027.0,2659130.0,https://data.bls.gov/cew/data/api/2018/a/area/18000.csv
IN,2019,163270.0,2685388.0,https://data.bls.gov/cew/data/api/2019/a/area/18000.csv
IN,2020,166967.0,2535558.0,https://data.bls.gov/cew/data/api/2020/a/area/18000.csv
IN,2021,173054.0,2631157.0,https://data.bls.gov/cew/data/api/2021/a/area/18000.csv
IN,2022,180517.0,2733492.0,https://data.bls.gov/cew/data/api/2022/a/area/18000.csv
IN,2023,184108.0,2767985.0,https://data.bls.gov/cew/data/api/2023/a/area/18000.csv
IN,2024,186716.0,2780349.0,https://data.bls.gov/cew/data/api/2024/a/area/18000.csv
KS,2017,83794.0,1129926.0,https://data.bls.gov/cew/data/api/2017/a/area/20000.csv
KS,2018,83788.0,1139242.0,https://data.bls.gov/cew/data/api/2018/a/area/20000.csv
KS,2019,82580.0,1147159.0,https://data.bls.gov/cew/data/api/2019/a/area/20000.csv
KS,2020,82704.0,1091219.0,https://data.bls.gov/cew/data/api/2020/a/area/20000.csv
KS,2021,85261.0,1114826.0,https://data.bls.gov/cew/data/api/2021/a/area/20000.csv
KS,2022,88348.0,1151446.0,https://data.bls.gov/cew/data/api/2022/a/area/20000.csv
