state,year,size_class,firm_count,establishment_count,source_url
AL,2021,100-499,2046,5516,https://www2.census.gov/programs-surveys/susb/tables/2021/us_state_naics_detailedsizes_2021.xlsx
AL,2021,20-99,7583,10042,https://www2.census.gov/programs-surveys/susb/tables/2021/us_state_naics_detailedsizes_2021.xlsx
AL,2021,5-9,13560,13723,https://www2.census.gov/programs-surveys/susb/tables/2021/us_state_naics_detailedsizes_2021.xlsx
AL,2021,500+,2719,22276,https://www2.census.gov/programs-surveys/susb/tables/2021/us_state_naics_detailedsizes_2021.xlsx
AL,2021,all,77353,103514,https://www2.census.gov/programs-surveys/susb/tables/2021/us_state_naics_detailedsizes_2021.xlsx
AL,2022,0-4,43077,43172,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,10-19,8696,9170,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,100-499,2082,5657,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,20-99,7913,10608,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,5-9,13614,13750,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,500+,2846,22714,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AL,2022,all,78228,105071,https://www2.census.gov/programs-surveys/susb/tables/2022/us_state_naics_detailedsizes_2022.xlsx
AR,2017,0-4,28934,28975,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,10-19,5262,5545,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,100-499,1226,3744,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,20-99,4815,6769,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,5-9,8852,8933,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,500+,1840,12820,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2017,all,50929,66786,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AR,2018,0-4,29208,29239,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,10-19,5278,5574,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,100-499,1189,3597,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,20-99,4775,6641,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,5-9,8923,8988,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,500+,1870,12936,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2018,all,51243,66975,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AR,2019,0-4,29264,29314,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,10-19,5242,5527,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,100-499,1215,3758,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,20-99,4798,6573,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,5-9,8802,8873,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,500+,1916,13198,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AR,2019,all,51237,67243,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
