state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,first_treatment_year,treated,event_time,cohort
IL,2022,2196,1966,2348,322349.0,5533883.0,6.812492050541493,7.284030662418683,6.098979677306273,2018.0,1,4.0,2018
IL,2023,3121,2816,3264,322415.0,5661761.0,9.680070716312827,10.123598467813222,8.734084952623173,2018.0,1,5.0,2018
IL,2024,2829,2167,2962,322415.0,5661761.0,8.774405657305026,9.186917482127072,6.721151311198301,2018.0,1,6.0,2018
IN,2017,617,597,760,148377.0,2779124.0,4.158326425254588,5.122087655094792,4.023534644857357,inf,0,,0
IN,2018,584,573,683,148304.0,2816081.0,3.9378573740425074,4.605405113820261,3.8636854029560905,inf,0,,0
IN,2019,587,571,774,148917.0,2834056.0,3.941793079366359,5.19752613872157,3.8343506785659125,inf,0,,0
IN,2020,586,545,1087,148724.0,2821903.0,3.9401845028374707,7.308840536833329,3.664506064925634,inf,0,,0
IN,2021,748,689,1304,150912.0,2754576.0,4.956530958439355,8.640797285835452,4.565574639525021,inf,0,,0
IN,2022,766,697,1096,153748.0,2875908.0,4.982178629965918,7.128548013632698,4.533392304290137,inf,0,,0
IN,2023,805,727,1043,155692.0,2924989.0,5.170464763764355,6.6991239113120775,4.669475631374765,inf,0,,0
IN,2024,845,648,1047,155692.0,2924989.0,5.427382267553888,6.724815661691031,4.162063561390437,inf,0,,0
KS,2017,281,269,331,74947.0,1199162.0,3.7493161834362954,4.41645429436802,3.589203036812681,inf,0,,0
KS,2018,316,311,348,74559.0,1203434.0,4.238254268431712,4.667444574095682,4.171193283171716,inf,0,,0
KS,2019,291,274,328,74292.0,1209318.0,3.9169762558552734,4.415011037527594,3.6881494642761,inf,0,,0
KS,2020,287,279,355,73982.0,1207003.0,3.8793219972425725,4.798464491362764,3.771187586169609,inf,0,,0
KS,2021,371,338,439,75057.0,1188432.0,4.942910055024847,5.848888178317812,4.5032442010738505,inf,0,,0
KS,2022,403,362,435,75991.0,1225232.0,5.303259596531168,5.724362095511311,4.76372201971286,inf,0,,0
KS,2023,375,337,407,76139.0,1248825.0,4.925202589999868,5.3454865443465245,4.426115394213215,inf,0,,0
KS,2024,353,266,372,76139.0,1248825.0,4.636257371386543,4.88580096927987,3.4936103705065737,inf,0,,0
KY,2017,348,343,398,91241.0,1625006.0,3.8140748128582542,4.362074067579268,3.759274887386153,inf,0,,0
KY,2018,298,290,346,91079.0,1642234.0,3.271884847220545,3.7988998561688203,3.1840490123958323,inf,0,,0
KY,2019,336,323,591,91219.0,1666637.0,3.6834431423278047,6.478913384273013,3.540928973130598,inf,0,,0
KY,2020,306,288,1502,90922.0,1666427.0,3.3655220958623877,16.519654209102306,3.1675502078704825,inf,0,,0
KY,2021,336,319,1177,92130.0,1617040.0,3.6470205144903938,12.775426028438076,3.4624986432215348,inf,0,,0
KY,2022,376,342,1006,93549.0,1667694.0,4.01928401158751,10.75372264802403,3.6558381169226823,inf,0,,0
KY,2023,394,349,1013,94402.0,1708602.0,4.17364038897481,10.730704857947925,3.6969555729751487,inf,0,,0
KY,2024,375,278,1068,94402.0,1708602.0,3.9723734666638415,11.313319633058622,2.944852863286795,inf,0,,0
LA,2017,354,341,401,106599.0,1688674.0,3.3208566684490477,3.7617613673674235,3.198904304918433,inf,0,,0
LA,2018,387,377,431,106359.0,1691552.0,3.6386201449806785,4.05231339143843,3.544598952603917,inf,0,,0
LA,2019,381,362,425,106302.0,1719561.0,3.5841282384150817,3.998043310568004,3.405392184530865,inf,0,,0
LA,2020,348,333,384,106230.0,1703353.0,3.275910759672409,3.61479807963852,3.1347077096865292,inf,0,,0
LA,2021,444,417,475,107464.0,1592665.0,4.131616169135711,4.42008486562942,3.880369239931512,inf,0,,0
LA,2022,489,445,524,108161.0,1644036.0,4.521038082118324,4.844629764887529,4.11423710949418,inf,0,,0
LA,2023,498,434,526,108561.0,1697330.0,4.587282725840772,4.845202236530614,3.9977524156925597,inf,0,,0
LA,2024,468,354,496,108561.0,1697330.0,4.3109403929587975,4.56885990364864,3.2608395280072955,inf,0,,0
MA,2017,1629,1559,1731,179828.0,3316716.0,9.058656049113598,9.625864715172275,8.669395199857643,inf,0,,0
MA,2018,1812,1759,1910,180307.0,3323852.0,10.049526640673962,10.593044085920125,9.755583532530629,inf,0,,0
MA,2019,1807,1698,1900,181061.0,3386372.0,9.98006196806601,10.493701017888998,9.378054909671325,inf,0,,0
MA,2020,1756,1633,1843,179456.0,3390833.0,9.78512838801712,10.269926890156919,9.099723609129814,inf,0,,0
MA,2021,1715,1573,1793,180088.0,3175568.0,9.523122029230155,9.956243614233042,8.734618630891564,inf,0,,0
