state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,qcew_establishments,qcew_employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,new_401k_per_1000_qcew_establishments,esrp_rate_per_1000_qcew_estabs,with_employees_rate_per_1000_qcew_estabs,first_treatment_year,treated,event_time,cohort
NE,2017,219,208,246,54954.0,833472.0,68649.0,811496.0,3.9851512173818104,4.476471230483678,3.7849838046366053,3.1901411528208716,3.583446226456321,3.029905752450873,inf,0,,0
NE,2018,184,177,216,54875.0,845616.0,67975.0,816876.0,3.353075170842825,3.93621867881549,3.225512528473804,2.706877528503126,3.177638837808018,2.6038984920926813,inf,0,,0
NE,2019,191,183,220,54939.0,856242.0,67729.0,821384.0,3.4765831194597645,4.004441289430096,3.3309670725713976,2.820062307135791,3.248239306648555,2.701944514166753,inf,0,,0
NE,2020,197,187,293,54791.0,866139.0,66721.0,790415.0,3.5954810096548706,5.347593582887701,3.4129692832764507,2.9525936361865077,4.391420991891608,2.802715786633893,inf,0,,0
NE,2021,254,247,420,55542.0,851783.0,71482.0,806993.0,4.573115840265025,7.561845090202009,4.447085088761658,3.553342100109118,5.875605047424527,3.45541534931871,inf,0,,0
NE,2022,305,275,336,56319.0,890050.0,73799.0,824945.0,5.415579111845026,5.966015021573536,4.882899199204531,4.132847328554587,4.552907220965054,3.726337755254136,inf,0,,0
NE,2023,289,264,316,56503.0,923066.0,73402.0,845599.0,5.1147726669380384,5.592623400527406,4.6723182839849215,3.9372224190076563,4.305059807634669,3.596632244353015,inf,0,,0
NE,2024,308,227,324,56503.0,923066.0,73388.0,853147.0,5.451037997982408,5.734208803072403,4.017485797214307,4.196871423120946,4.414890717828528,3.0931487436638143,inf,0,,0
NH,2017,249,240,272,38371.0,603923.0,49348.0,569014.0,6.4892757551275695,7.08868676865341,6.2547236194000675,5.045797195428387,5.511874848018157,4.863418983545432,inf,0,,0
NH,2018,243,234,261,38375.0,612420.0,50054.0,574083.0,6.332247557003257,6.801302931596092,6.09771986970684,4.854756862588404,5.214368482039397,4.674951052862908,inf,0,,0
NH,2019,279,269,290,38494.0,620164.0,51110.0,580340.0,7.247882786927833,7.533641606484127,6.988102041876656,5.458814322050479,5.674036392095481,5.263157894736842,inf,0,,0
NH,2020,266,254,288,38350.0,621263.0,52709.0,542934.0,6.936114732724903,7.509778357235985,6.6232073011734025,5.046576485989109,5.463962511146104,4.8189113813580216,inf,0,,0
NH,2021,328,305,353,38825.0,586840.0,56083.0,567902.0,8.448164842240825,9.092079845460399,7.8557630392788145,5.848474582315497,6.294242462065154,5.438368132945812,inf,0,,0
NH,2022,313,277,320,39348.0,615249.0,59864.0,589213.0,7.954660973874149,8.132560740063028,7.0397478906170585,5.228517974074569,5.345449685954831,4.627154884404651,inf,0,,0
NH,2023,296,260,322,39298.0,628166.0,62555.0,600374.0,7.53218993332994,8.19380121125757,6.616112779276299,4.731835984333786,5.147470226200943,4.156342418671569,inf,0,,0
NH,2024,328,237,347,39298.0,628166.0,64226.0,604412.0,8.346480736933177,8.8299659015726,6.030841264186472,5.106966026219911,5.402796375299723,3.6900943543113383,inf,0,,0
NJ,2017,1665,1608,1871,233907.0,3679443.0,259703.0,3435139.0,7.1182136490143515,7.998905547931442,6.874527055624672,6.411169682290924,7.204383468808601,6.191688197671956,2024.0,0,-7.0,2024
NJ,2018,1790,1733,1998,233806.0,3739076.0,263159.0,3472611.0,7.655919865187377,8.545546307622558,7.4121280035585055,6.801971431719987,7.592368112053929,6.585372341436166,2024.0,0,-6.0,2024
NJ,2019,1702,1630,1861,233888.0,3805357.0,271550.0,3510701.0,7.276987275961144,7.956799835818854,6.969147626214256,6.267722334744983,6.853249861903885,6.002577794144725,2024.0,0,-5.0,2024
